source	target	weight	episode
ANAKIN (DW)	BERU	1	episode-2
ANAKIN (DW)	C-3PO	3	episode-2
BERU	C-3PO	1	episode-2
ANAKIN (DW)	CAPTAIN TYPHO	2	episode-2
ANAKIN (DW)	CLIEGG	2	episode-2
BERU	CLIEGG	1	episode-2
C-3PO	CLIEGG	1	episode-2
ANAKIN (DW)	COUNT DOOKU (DT)	2	episode-2
BOBA FETT	JANGO FETT	3	episode-2
COUNT DOOKU (DT)	JANGO FETT	1	episode-2
ANAKIN (DW)	JAR JAR	3	episode-2
BAIL ORGANA	JAR JAR	1	episode-2
CAPTAIN TYPHO	JAR JAR	1	episode-2
ANAKIN (DW)	JOBAL	1	episode-2
BAIL ORGANA	KI-ADI-MUNDI	1	episode-2
ANAKIN (DW)	MACE WINDU	1	episode-2
BAIL ORGANA	MACE WINDU	2	episode-2
COUNT DOOKU (DT)	MACE WINDU	2	episode-2
JAR JAR	MACE WINDU	1	episode-2
KI-ADI-MUNDI	MACE WINDU	1	episode-2
ANAKIN (DW)	NUTE GUNRAY	1	episode-2
COUNT DOOKU (DT)	NUTE GUNRAY	1	episode-2
ANAKIN (DW)	OBI-WAN	13	episode-2
BAIL ORGANA	OBI-WAN	1	episode-2
BOBA FETT	OBI-WAN	1	episode-2
CAPTAIN TYPHO	OBI-WAN	2	episode-2
COUNT DOOKU (DT)	OBI-WAN	2	episode-2
JANGO FETT	OBI-WAN	1	episode-2
JAR JAR	OBI-WAN	3	episode-2
LAMA SU	OBI-WAN	6	episode-2
MACE WINDU	OBI-WAN	4	episode-2
NUTE GUNRAY	OBI-WAN	1	episode-2
JAR JAR	ORN FREE TAA	1	episode-2
ANAKIN (DW)	OWEN	3	episode-2
BERU	OWEN	1	episode-2
C-3PO	OWEN	2	episode-2
CLIEGG	OWEN	2	episode-2
ANAKIN (DW)	PADME	16	episode-2
BERU	PADME	1	episode-2
C-3PO	PADME	5	episode-2
CLIEGG	PADME	2	episode-2
COUNT DOOKU (DT)	PADME	3	episode-2
JAR JAR	PADME	1	episode-2
JOBAL	PADME	1	episode-2
MACE WINDU	PADME	2	episode-2
NUTE GUNRAY	PADME	1	episode-2
OBI-WAN	PADME	2	episode-2
OWEN	PADME	4	episode-2
BAIL ORGANA	PALPATINE (DS)	2	episode-2
COUNT DOOKU (DT)	PALPATINE (DS)	1	episode-2
JAR JAR	PALPATINE (DS)	2	episode-2
KI-ADI-MUNDI	PALPATINE (DS)	1	episode-2
MACE WINDU	PALPATINE (DS)	2	episode-2
OBI-WAN	PALPATINE (DS)	1	episode-2
ORN FREE TAA	PALPATINE (DS)	2	episode-2
SENATOR ASK AAK	PALPATINE (DS)	2	episode-2
YODA	PALPATINE (DS)	2	episode-2
OBI-WAN	PK-4	1	episode-2
KI-ADI-MUNDI	PLO KOON	1	episode-2
ANAKIN (DW)	POGGLE	1	episode-2
COUNT DOOKU (DT)	POGGLE	1	episode-2
NUTE GUNRAY	POGGLE	2	episode-2
OBI-WAN	POGGLE	1	episode-2
PADME	POGGLE	1	episode-2
ANAKIN (DW)	R2-D2	7	episode-2
C-3PO	R2-D2	3	episode-2
PADME	R2-D2	7	episode-2
ANAKIN (DW)	RUWEE	3	episode-2
JOBAL	RUWEE	1	episode-2
PADME	RUWEE	1	episode-2
BAIL ORGANA	SENATOR ASK AAK	1	episode-2
JAR JAR	SENATOR ASK AAK	1	episode-2
MACE WINDU	SENATOR ASK AAK	1	episode-2
OBI-WAN	SENATOR ASK AAK	1	episode-2
ORN FREE TAA	SENATOR ASK AAK	1	episode-2
ANAKIN (DW)	SHMI	1	episode-2
ANAKIN (DW)	SIO BIBBLE	1	episode-2
ANAKIN (DW)	SOLA	1	episode-2
JOBAL	SOLA	2	episode-2
PADME	SOLA	1	episode-2
RUWEE	SOLA	1	episode-2
ANAKIN (DW)	SUN RIT	1	episode-2
COUNT DOOKU (DT)	SUN RIT	1	episode-2
NUTE GUNRAY	SUN RIT	2	episode-2
OBI-WAN	SUN RIT	1	episode-2
PADME	SUN RIT	1	episode-2
POGGLE	SUN RIT	2	episode-2
BOBA FETT	TAUN WE	2	episode-2
JANGO FETT	TAUN WE	1	episode-2
LAMA SU	TAUN WE	2	episode-2
OBI-WAN	TAUN WE	5	episode-2
ANAKIN (DW)	WATTO	1	episode-2
ANAKIN (DW)	YODA	1	episode-2
BAIL ORGANA	YODA	2	episode-2
COUNT DOOKU (DT)	YODA	2	episode-2
JAR JAR	YODA	1	episode-2
KI-ADI-MUNDI	YODA	1	episode-2
MACE WINDU	YODA	8	episode-2
OBI-WAN	YODA	5	episode-2
PADME	YODA	1	episode-2
SENATOR ASK AAK	YODA	1	episode-2
ANAKIN (DW)	BAIL ORGANA	2	episode-3
