source	target	weight	episode
BERU	C-3PO	2	episode-4
BIGGS	C-3PO	1	episode-4
BIGGS	CAMIE	2	episode-4
C-3PO	CHEWBACCA	4	episode-4
BIGGS	GOLD LEADER	1	episode-4
DODONNA	GOLD LEADER	1	episode-4
C-3PO	HAN	6	episode-4
CHEWBACCA	HAN	19	episode-4
GREEDO	HAN	1	episode-4
HAN	JABBA	1	episode-4
ANAKIN (DW)	LEIA	1	episode-4
BERU	LEIA	1	episode-4
BIGGS	LEIA	1	episode-4
C-3PO	LEIA	6	episode-4
CHEWBACCA	LEIA	8	episode-4
HAN	LEIA	13	episode-4
BERU	LUKE	3	episode-4
BIGGS	LUKE	4	episode-4
C-3PO	LUKE	18	episode-4
CAMIE	LUKE	2	episode-4
CHEWBACCA	LUKE	14	episode-4
DODONNA	LUKE	1	episode-4
GOLD LEADER	LUKE	1	episode-4
HAN	LUKE	26	episode-4
LEIA	LUKE	17	episode-4
ANAKIN (DW)	MOTTI	1	episode-4
LEIA	MOTTI	1	episode-4
ANAKIN (DW)	OBI-WAN	1	episode-4
C-3PO	OBI-WAN	6	episode-4
CHEWBACCA	OBI-WAN	4	episode-4
HAN	OBI-WAN	9	episode-4
LEIA	OBI-WAN	1	episode-4
LUKE	OBI-WAN	19	episode-4
BERU	OWEN	3	episode-4
C-3PO	OWEN	2	episode-4
LUKE	OWEN	3	episode-4
BERU	R2-D2	1	episode-4
BIGGS	R2-D2	1	episode-4
C-3PO	R2-D2	17	episode-4
CHEWBACCA	R2-D2	3	episode-4
HAN	R2-D2	6	episode-4
LEIA	R2-D2	5	episode-4
LUKE	R2-D2	14	episode-4
OBI-WAN	R2-D2	4	episode-4
OWEN	R2-D2	1	episode-4
BIGGS	RED LEADER	3	episode-4
C-3PO	RED LEADER	1	episode-4
GOLD LEADER	RED LEADER	1	episode-4
LEIA	RED LEADER	1	episode-4
LUKE	RED LEADER	3	episode-4
LUKE	RED TEN	1	episode-4
RED LEADER	RED TEN	1	episode-4
ANAKIN (DW)	TARKIN	7	episode-4
LEIA	TARKIN	1	episode-4
MOTTI	TARKIN	2	episode-4
BIGGS	WEDGE	2	episode-4
DODONNA	WEDGE	1	episode-4
GOLD LEADER	WEDGE	1	episode-4
LUKE	WEDGE	2	episode-4
RED LEADER	WEDGE	3	episode-4
ANAKIN (DW)	BOBA FETT	3	episode-5
ANAKIN (DW)	C-3PO	1	episode-5
BOBA FETT	C-3PO	1	episode-5
ANAKIN (DW)	CHEWBACCA	1	episode-5
BOBA FETT	CHEWBACCA	1	episode-5
C-3PO	CHEWBACCA	21	episode-5
C-3PO	DERLIN	1	episode-5
ANAKIN (DW)	HAN	2	episode-5
BOBA FETT	HAN	1	episode-5
C-3PO	HAN	27	episode-5
CHEWBACCA	HAN	19	episode-5
ANAKIN (DW)	LANDO	4	episode-5
BOBA FETT	LANDO	2	episode-5
C-3PO	LANDO	7	episode-5
CHEWBACCA	LANDO	9	episode-5
HAN	LANDO	7	episode-5
ANAKIN (DW)	LEIA	1	episode-5
BOBA FETT	LEIA	1	episode-5
C-3PO	LEIA	23	episode-5
CHEWBACCA	LEIA	19	episode-5
DERLIN	LEIA	1	episode-5
HAN	LEIA	33	episode-5
LANDO	LEIA	10	episode-5
ANAKIN (DW)	LUKE	2	episode-5
C-3PO	LUKE	1	episode-5
CHEWBACCA	LUKE	5	episode-5
DACK	LUKE	3	episode-5
HAN	LUKE	4	episode-5
LANDO	LUKE	2	episode-5
LEIA	LUKE	1	episode-5
ANAKIN (DW)	NEEDA	1	episode-5
HAN	OBI-WAN	1	episode-5
LUKE	OBI-WAN	2	episode-5
ANAKIN (DW)	OZZEL	2	episode-5
ANAKIN (DW)	PALPATINE (DS)	1	episode-5
ANAKIN (DW)	PIETT	7	episode-5
BOBA FETT	PIETT	1	episode-5
NEEDA	PIETT	1	episode-5
OZZEL	PIETT	2	episode-5
C-3PO	R2-D2	10	episode-5
CHEWBACCA	R2-D2	5	episode-5
HAN	R2-D2	4	episode-5
LANDO	R2-D2	1	episode-5
LEIA	R2-D2	5	episode-5
LUKE	R2-D2	7	episode-5
C-3PO	RIEEKAN	1	episode-5
CHEWBACCA	RIEEKAN	1	episode-5
HAN	RIEEKAN	3	episode-5
LEIA	RIEEKAN	4	episode-5
JANSON	WEDGE	2	episode-5
LUKE	WEDGE	2	episode-5
LUKE	YODA	5	episode-5
OBI-WAN	YODA	1	episode-5
HAN	ZEV	1	episode-5
LUKE	ZEV	1	episode-5
ADMIRAL ACKBAR	C-3PO	1	episode-6
BIB FORTUNA	C-3PO	2	episode-6
BOUSHH	C-3PO	2	episode-6
C-3PO	CHEWBACCA	13	episode-6
ADMIRAL ACKBAR	HAN	1	episode-6
BOUSHH	HAN	1	episode-6
C-3PO	HAN	18	episode-6
CHEWBACCA	HAN	20	episode-6
BIB FORTUNA	JABBA	1	episode-6
BOUSHH	JABBA	1	episode-6
C-3PO	JABBA	3	episode-6
ANAKIN (DW)	JERJERROD	1	episode-6
ADMIRAL ACKBAR	LANDO	5	episode-6
C-3PO	LANDO	1	episode-6
CHEWBACCA	LANDO	6	episode-6
HAN	LANDO	5	episode-6
ADMIRAL ACKBAR	LEIA	1	episode-6
BOUSHH	LEIA	1	episode-6
C-3PO	LEIA	15	episode-6
CHEWBACCA	LEIA	14	episode-6
HAN	LEIA	18	episode-6
LANDO	LEIA	2	episode-6
ADMIRAL ACKBAR	LUKE	1	episode-6
ANAKIN (DW)	LUKE	1	episode-6
ANAKIN (DW)	LUKE	5	episode-6
BIB FORTUNA	LUKE	1	episode-6
C-3PO	LUKE	10	episode-6
CHEWBACCA	LUKE	10	episode-6
HAN	LUKE	13	episode-6
JABBA	LUKE	2	episode-6
LANDO	LUKE	4	episode-6
LEIA	LUKE	8	episode-6
ADMIRAL ACKBAR	MON MOTHMA	1	episode-6
C-3PO	MON MOTHMA	1	episode-6
CHEWBACCA	MON MOTHMA	1	episode-6
HAN	MON MOTHMA	1	episode-6
LANDO	MON MOTHMA	1	episode-6
LEIA	MON MOTHMA	1	episode-6
LUKE	MON MOTHMA	1	episode-6
LUKE	OBI-WAN	1	episode-6
ANAKIN (DW)	PALPATINE (DS)	5	episode-6
LUKE	PALPATINE (DS)	3	episode-6
ANAKIN (DW)	PIETT	1	episode-6
C-3PO	R2-D2	14	episode-6
CHEWBACCA	R2-D2	8	episode-6
HAN	R2-D2	9	episode-6
JABBA	R2-D2	2	episode-6
LANDO	R2-D2	2	episode-6
LEIA	R2-D2	12	episode-6
LUKE	R2-D2	8	episode-6
MON MOTHMA	R2-D2	1	episode-6
ADMIRAL ACKBAR	WEDGE	1	episode-6
LANDO	WEDGE	6	episode-6
LUKE	YODA	1	episode-6
